comp,y
Ca8Sb8O24,-2.7
Ca8Ta8O24,-5.504
Ba6Ca2P8O24,-3.571
Ba6Ca2Nb6P2O24,-4.39
Ba6Ca2Nb4P4O24,-2.907
Ba6Ca2Nb2P6O24,-3.345
Ba6Ca2Sb8O24,-2.632
Ba6Ca2Nb6Sb2O24,-4.101
Ba6Ca2Nb4Sb4O24,-2.246
Ba6Ca2Nb2Sb6O24,-2.401
Ba6Ca2Ta8O24,-5.052
Ba6Ca2Ta4Nb4O24,-4.66
Ba6Ca2Ta6Nb2O24,-4.874
Ba6Ca2V8O24,-3.133
Ba6Ca2Nb6V2O24,-4.052
Ba6Ca2Nb4V4O24,-3.641
Ba6Ca2Nb2V6O24,-3.429
Ba4Ca4Nb8O24,-4.48
Ba4Ca4P8O24,-3.911
Ba4Ca4Nb6P2O24,-4.481
Ba4Ca4Nb4P4O24,-3.121
Ba4Ca4Nb2P6O24,-3.437
Ba4Ca4Sb8O24,-2.529
Ba4Ca4Nb6Sb2O24,-4.163
Ba4Ca4Nb4Sb4O24,-2.136
Ba4Ca4Nb2Sb6O24,-2.246
Ba4Ca4Ta8O24,-5.17
Ba4Ca4Ta2Nb6O24,-4.635
Ba4Ca4Ta4Nb4O24,-4.789
Ba4Ca4Ta6Nb2O24,-4.998
Ba4Ca4V8O24,-3.327
Ba4Ca4Nb6V2O24,-4.174
Ba4Ca4Nb4V4O24,-3.617
Ba4Ca4Nb2V6O24,-3.62
Ba2Ca6Nb8O24,-4.644
Ba2Ca6P8O24,-3.223
Ba2Ca6Nb6P2O24,-4.538
Ba2Ca6Nb4P4O24,-3.15
Ba2Ca6Nb2P6O24,-3.546
Ba2Ca6Sb8O24,-2.674
Ba2Ca6Nb6Sb2O24,-4.243
Ba2Ca6Nb4Sb4O24,-2.2
Ba2Ca6Nb2Sb6O24,-2.277
Ba2Ca6Ta8O24,-5.428
Ba2Ca6Ta2Nb6O24,-4.818
Ba2Ca6Ta4Nb4O24,-4.949
Ba2Ca6Ta6Nb2O24,-5.164
Ba2Ca6Nb6V2O24,-4.352
Ba2Ca6Nb4V4O24,-3.84
Ba2Ca6Nb2V6O24,-3.658
Mg8Nb8O24,-4.193
Mg8P8O24,-2.641
Mg8Sb8O24,-2.099
Mg8Ta8O24,-5.157
Mg8V8O24,-2.996
Ba6Mg2Nb8O24,-4.354
Ba6Mg2P8O24,-3.313
Ba6Mg2Nb6P2O24,-4.292
Ba6Mg2Nb4P4O24,-2.872
Ba6Mg2Nb2P6O24,-3.208
Ba6Mg2Sb8O24,-2.608
Ba6Mg2Nb6Sb2O24,-4.002
Ba6Mg2Nb4Sb4O24,-1.974
Ba6Mg2Nb2Sb6O24,-2.162
Ba6Mg2Ta8O24,-5.097
Ba6Mg2Ta2Nb6O24,-4.478
Ba6Mg2Ta4Nb4O24,-4.645
Ba6Mg2Ta6Nb2O24,-4.836
Ba6Mg2V8O24,-3.203
Ba6Mg2Nb6V2O24,-3.95
Ba6Mg2Nb4V4O24,-3.547
Ba6Mg2Nb2V6O24,-3.239
Ca4Mg4Nb6P2O24,-4.352
Ca4Mg4Nb4P4O24,-4.747
Ca4Mg4Nb2P6O24,-5.244
Ca4Mg4Nb6Sb2O24,-4.178
Ca4Mg4Nb4Sb4O24,-2.115
Ca4Mg4Nb2Sb6O24,-2.296
Ca4Mg4Ta2Nb6O24,-4.736
Ca4Mg4Ta4Nb4O24,-4.754
Ca4Mg4Ta6Nb2O24,-5.161
Ca4Mg4Nb6V2O24,-4.29
Ca4Mg4Nb4V4O24,-3.747
Ca4Mg4Nb2V6O24,-3.469
Sr4Mg4Nb6P2O24,-4.28
Sr4Mg4Nb4P4O24,-2.824
Sr4Mg4Nb2P6O24,-3.032
Sr4Mg4Nb6Sb2O24,-3.98
Sr4Mg4Nb4Sb4O24,-2.02
Sr4Mg4Nb2Sb6O24,-1.847
Sr4Mg4Ta2Nb6O24,-4.627
Sr4Mg4Ta4Nb4O24,-4.79
Sr4Mg4Ta6Nb2O24,-5.081
Sr4Mg4Nb6V2O24,-4.039
Sr4Mg4Nb4V4O24,-3.531
Sr4Mg4Nb2V6O24,-3.266
Ba4Mg4Nb8O24,-4.312
Ba4Mg4P8O24,-3.739
Ba4Mg4Nb6P2O24,-4.251
Ba4Mg4Nb4P4O24,-2.791
Ba4Mg4Nb2P6O24,-3.22
Ba4Mg4Sb8O24,-1.926
Ba4Mg4Nb6Sb2O24,-4.013
Ba4Mg4Nb4Sb4O24,-1.961
Ba4Mg4Nb2Sb6O24,-1.82
Ba4Mg4Ta8O24,-5.227
Ba4Mg4Ta2Nb6O24,-4.395
Ba4Mg4Ta4Nb4O24,-4.513
Ba4Mg4Ta6Nb2O24,-4.831
Ba4Mg4V8O24,-3.003
Ba4Mg4Nb6V2O24,-3.856
Ba4Mg4Nb4V4O24,-3.314
Ba4Mg4Nb2V6O24,-3.087
Ba2Mg6Nb8O24,-4.376
Ba2Mg6P8O24,-2.993
Ba2Mg6Nb6P2O24,-4.214
Ba2Mg6Nb4P4O24,-2.792
Ba2Mg6Nb2P6O24,-4.238
Ba2Mg6Sb8O24,-1.789
Ba2Mg6Nb6Sb2O24,-3.868
Ba2Mg6Nb4Sb4O24,-1.795
Ba2Mg6Nb2Sb6O24,-1.763
Ba2Mg6Ta8O24,-5.182
Ba2Mg6Ta2Nb6O24,-4.413
Ba2Mg6Ta4Nb4O24,-4.516
Ba2Mg6Ta6Nb2O24,-4.891
Ba2Mg6V8O24,-3.14
Ba2Mg6Nb6V2O24,-3.926
Ba2Mg6Nb4V4O24,-3.298
Ba2Mg6Nb2V6O24,-3.096
Sr8P8O24,-3.584
Sr8Sb8O24,-2.683
Ba6Sr2Nb8O24,-4.371
Ba6Sr2P8O24,-2.445
Ba6Sr2Nb6P2O24,-4.451
Ba6Sr2Nb4P4O24,-2.868
Ba6Sr2Nb2P6O24,-3.31
Ba6Sr2Sb8O24,-2.915
Ba6Sr2Nb6Sb2O24,-4.142
Ba6Sr2Nb4Sb4O24,-2.747
Ba6Sr2Nb2Sb6O24,-3.008
Ba6Sr2Ta8O24,-5.093
Ba6Sr2Ta2Nb6O24,-4.525
Ba6Sr2Ta4Nb4O24,-4.677
Ba6Sr2Ta6Nb2O24,-4.892
Ba6Sr2V8O24,-3.128
Ba6Sr2Nb6V2O24,-3.934
Ba6Sr2Nb4V4O24,-3.52
Ba6Sr2Nb2V6O24,-3.355
Sr4Ca4Nb6P2O24,-4.514
Sr4Ca4Nb4P4O24,-3.024
Sr4Ca4Nb2P6O24,-3.687
Sr4Ca4Nb6Sb2O24,-4.17
Sr4Ca4Nb4Sb4O24,-2.094
Sr4Ca4Nb2Sb6O24,-2.494
Sr4Ca4Ta2Nb6O24,-4.802
Sr4Ca4Ta4Nb4O24,-4.959
Sr4Ca4Ta6Nb2O24,-5.195
Sr4Ca4Nb6V2O24,-4.349
Sr4Ca4Nb2V6O24,-3.741
Ba4Sr4Nb8O24,-4.451
Ba4Sr4P8O24,-3.992
Ba4Sr4Nb6P2O24,-4.488
Ba4Sr4Nb4P4O24,-2.806
Ba4Sr4Nb2P6O24,-3.324
Ba4Sr4Sb8O24,-2.906
Ba4Sr4Nb6Sb2O24,-4.223
Ba4Sr4Nb4Sb4O24,-2.518
Ba4Sr4Nb2Sb6O24,-2.836
Ba4Sr4Ta8O24,-5.177
Ba4Sr4Ta2Nb6O24,-4.612
Ba4Sr4Ta4Nb4O24,-4.769
Ba4Sr4Ta6Nb2O24,-4.988
Ba4Sr4Nb6V2O24,-4.035
Ba4Sr4Nb2V6O24,-3.45
Ba2Sr6P8O24,-2.553
Ba2Sr6Nb6P2O24,-4.454
Ba2Sr6Nb4P4O24,-2.843
Ba2Sr6Nb2P6O24,-3.146
Ba2Sr6Sb8O24,-2.784
Ba2Sr6Nb6Sb2O24,-4.215
Ba2Sr6Nb4Sb4O24,-2.574
Ba2Sr6Nb2Sb6O24,-2.799
Ba2Sr6Ta2Nb6O24,-4.682
Ba2Sr6Ta4Nb4O24,-4.848
Ba2Sr6Ta6Nb2O24,-5.076
Ba2Sr6Nb6V2O24,-4.12
Ba2Sr6Nb4V4O24,-3.773
Ba2Sr6Nb2V6O24,-3.543
Ba7Zn1Co8O24,-2.076
Ba7Zn1Fe8O24,-1.889
Ba7Zn1Mn8O24,-2.1
Ba7Zn1Ni8O24,-1.556
Ba6Zn2Co8O24,-2.001
Ba6Zn2Hf2Co6O24,-1.766
Ba6Zn2Nb2Co6O24,-1.936
Ba6Zn2Ta2Co6O24,-2.171
Ba6Zn2Ti2Co6O24,-2.176
